"date","price","open","Max","Min","volume","change"
"11.02.2021","3.530,60","3.626,00","3.628,00","3.503,80","495,26K","-1,78%"
"10.02.2021","3.594,60","3.576,20","3.691,00","3.511,00","1,68M","3,45%"
"09.02.2021","3.474,60","3.429,60","3.495,00","3.300,20","671,00K","2,19%"
"08.02.2021","3.400,00","3.260,20","3.409,60","3.260,00","394,47K","4,46%"
"05.02.2021","3.254,80","3.208,00","3.278,60","3.174,00","252,35K","1,74%"
"04.02.2021","3.199,20","3.230,00","3.250,00","3.137,00","256,41K","-0,75%"
"03.02.2021","3.223,40","3.225,00","3.248,40","3.194,60","167,58K","-0,01%"
"02.02.2021","3.223,60","3.275,00","3.304,60","3.170,00","297,59K","-0,60%"
"01.02.2021","3.243,00","3.090,60","3.255,00","3.060,20","401,95K","4,92%"
"29.01.2021","3.090,80","3.031,00","3.145,00","3.014,00","438,64K","1,23%"
"28.01.2021","3.053,20","2.990,20","3.085,20","2.884,60","329,56K","0,99%"
"27.01.2021","3.023,40","3.051,00","3.074,40","2.952,00","333,55K","-0,87%"
"26.01.2021","3.049,80","3.124,60","3.140,00","3.013,80","573,14K","-2,00%"
"25.01.2021","3.112,00","3.088,40","3.189,60","3.012,00","605,31K","1,53%"
"22.01.2021","3.065,00","2.999,40","3.105,00","2.942,00","543,63K","2,17%"
"21.01.2021","3.000,00","3.170,00","3.170,00","2.935,00","803,69K","-5,40%"
"20.01.2021","3.171,40","3.278,80","3.367,00","3.106,00","952,17K","-2,60%"
"19.01.2021","3.256,20","3.456,60","3.511,60","3.203,00","740,13K","-5,61%"
"18.01.2021","3.449,80","3.290,00","3.564,00","3.165,80","912,01K","6,15%"
"15.01.2021","3.250,00","3.005,00","3.384,80","2.980,60","682,28K","8,04%"
"14.01.2021","3.008,20","2.880,00","3.048,00","2.858,40","331,59K","4,38%"
"13.01.2021","2.882,00","2.919,80","2.955,40","2.844,80","168,40K","-1,04%"
"12.01.2021","2.912,20","3.025,00","3.025,00","2.808,00","426,58K","-1,95%"
"11.01.2021","2.970,00","2.900,00","3.112,00","2.855,20","757,14K","1,54%"
"08.01.2021","2.925,00","2.598,80","2.954,80","2.566,00","796,30K","18,43%"
"06.01.2021","2.469,80","2.429,00","2.499,00","2.425,00","213,36K","0,64%"
"05.01.2021","2.454,00","2.461,40","2.514,00","2.420,40","229,72K","-0,77%"
"04.01.2021","2.473,00","2.395,20","2.515,80","2.376,20","301,69K","4,77%"
"30.12.2020","2.360,40","2.357,60","2.406,00","2.342,00","150,44K","0,01%"
"29.12.2020","2.360,20","2.373,20","2.399,00","2.332,60","136,64K","-0,21%"
"28.12.2020","2.365,20","2.335,40","2.370,00","2.330,40","90,23K","0,94%"
"25.12.2020","2.343,20","2.354,00","2.362,60","2.325,20","61,53K","-0,50%"
"24.12.2020","2.355,00","2.396,80","2.396,80","2.345,00","65,55K","-0,48%"
"23.12.2020","2.366,40","2.398,40","2.398,40","2.343,20","73,36K","-0,42%"
"22.12.2020","2.376,40","2.359,60","2.420,00","2.334,20","180,42K","-0,24%"
"21.12.2020","2.382,20","2.444,60","2.451,80","2.310,00","296,83K","-1,97%"
"18.12.2020","2.430,00","2.469,80","2.469,80","2.370,20","223,75K","-0,65%"
"17.12.2020","2.446,00","2.430,00","2.479,00","2.401,00","346,31K","0,95%"
"16.12.2020","2.423,00","2.380,00","2.448,40","2.351,40","280,48K","1,64%"
"15.12.2020","2.383,80","2.300,20","2.398,60","2.270,00","248,32K","3,27%"
"14.12.2020","2.308,40","2.297,80","2.330,00","2.273,80","303,83K","1,78%"
"11.12.2020","2.268,00","2.297,00","2.359,20","2.235,40","990,74K","-0,16%"
"10.12.2020","2.271,60","2.441,00","2.493,80","2.244,00","457,35K","-7,53%"
"09.12.2020","2.456,60","2.360,00","2.503,60","2.339,20","282,90K","4,23%"
"08.12.2020","2.357,00","2.410,00","2.410,00","2.311,40","167,95K","-1,26%"
"07.12.2020","2.387,00","2.414,00","2.451,00","2.370,80","185,70K","-2,17%"
"04.12.2020","2.440,00","2.360,00","2.447,60","2.325,00","152,34K","3,03%"
"03.12.2020","2.368,20","2.465,00","2.473,20","2.351,00","329,06K","-3,17%"
"02.12.2020","2.445,80","2.390,00","2.489,00","2.360,20","218,23K","3,07%"
"01.12.2020","2.373,00","2.376,00","2.395,20","2.321,60","164,10K","0,55%"
"30.11.2020","2.360,00","2.289,80","2.361,20","2.270,00","326,70K","3,07%"
